Date,Symbol,Open,High,Low,Close,Volume,Month,Daily_Return,Price_Change,Sector
2023-10-03 05:30:00,JSWSTEEL,776.55,776.55,768.0,770.25,1099773,2023-10,,-6.2999999999999545,STEEL
2023-10-04 05:30:00,JSWSTEEL,767.95,768.0,753.15,756.6,1654158,2023-10,-1.7721518987341756,-11.350000000000023,STEEL
2023-10-05 05:30:00,JSWSTEEL,762.0,762.65,752.9,755.5,1459736,2023-10,-0.14538725878932013,-6.5,STEEL
2023-10-06 05:30:00,JSWSTEEL,760.35,771.15,758.65,765.2,2026927,2023-10,1.283917935142287,4.850000000000023,STEEL
2023-10-09 05:30:00,JSWSTEEL,756.5,761.4,749.15,757.55,725323,2023-10,-0.9997386304234301,1.0499999999999545,STEEL
2023-10-10 05:30:00,JSWSTEEL,759.65,774.2,757.3,771.9,1351582,2023-10,1.894264404989765,12.25,STEEL
2023-10-11 05:30:00,JSWSTEEL,776.0,782.55,774.55,777.25,1841618,2023-10,0.6930949604871062,1.25,STEEL
2023-10-12 05:30:00,JSWSTEEL,782.4,789.95,779.45,783.45,2139718,2023-10,0.7976841428112058,1.0500000000000682,STEEL
2023-10-13 05:30:00,JSWSTEEL,778.0,780.0,773.0,777.25,998547,2023-10,-0.7913714978620257,-0.75,STEEL
2023-10-16 05:30:00,JSWSTEEL,777.25,794.35,773.0,790.7,2157341,2023-10,1.7304599549694544,13.450000000000045,STEEL
2023-10-17 05:30:00,JSWSTEEL,792.7,796.0,788.15,790.15,1050381,2023-10,-0.0695586189452424,-2.550000000000068,STEEL
2023-10-18 05:30:00,JSWSTEEL,793.1,801.0,781.2,784.4,1250892,2023-10,-0.7277099284945909,-8.700000000000045,STEEL
2023-10-19 05:30:00,JSWSTEEL,780.15,782.7,769.15,780.45,2130597,2023-10,-0.5035696073431795,0.3000000000000682,STEEL
2023-10-20 05:30:00,JSWSTEEL,779.6,779.75,761.9,769.4,1501944,2023-10,-1.4158498302261568,-10.200000000000045,STEEL
2023-10-23 05:30:00,JSWSTEEL,770.8,774.8,746.1,748.95,1715908,2023-10,-2.6579152586430843,-21.84999999999991,STEEL
2023-10-25 05:30:00,JSWSTEEL,754.1,761.85,741.5,748.3,2417579,2023-10,-0.08678817010482343,-5.800000000000068,STEEL
2023-10-26 05:30:00,JSWSTEEL,744.7,745.0,725.5,728.7,2519570,2023-10,-2.6192703461178524,-16.0,STEEL
2023-10-27 05:30:00,JSWSTEEL,729.7,735.45,725.25,732.0,1588987,2023-10,0.45286125977768155,2.2999999999999545,STEEL
2023-10-30 05:30:00,JSWSTEEL,734.8,736.8,726.0,734.5,1162173,2023-10,0.3415300546448119,-0.2999999999999545,STEEL
2023-10-31 05:30:00,JSWSTEEL,737.0,738.55,727.0,736.35,1363728,2023-10,0.25187202178353907,-0.6499999999999773,STEEL
2023-11-01 05:30:00,JSWSTEEL,736.9,737.3,723.0,724.45,1845107,2023-11,-1.616079310110674,-12.449999999999932,STEEL
