Date,Symbol,Open,High,Low,Close,Volume,Month,Daily_Return,Price_Change,Sector
2023-10-03 05:30:00,BEL,137.9,140.6,137.2,139.2,19010910,2023-10,,1.299999999999983,DEFENCE
2023-10-04 05:30:00,BEL,138.0,139.15,136.55,138.85,14912053,2023-10,-0.25143678160919336,0.8499999999999943,DEFENCE
2023-10-05 05:30:00,BEL,139.5,141.35,138.1,138.95,15996620,2023-10,0.07202016564638036,-0.5500000000000114,DEFENCE
2023-10-06 05:30:00,BEL,139.0,140.5,138.65,139.0,4987359,2023-10,0.03598416696655171,0.0,DEFENCE
2023-10-09 05:30:00,BEL,136.2,137.6,135.05,135.75,10489249,2023-10,-2.3381294964028743,-0.44999999999998863,DEFENCE
2023-10-10 05:30:00,BEL,137.4,141.0,136.5,139.95,15593722,2023-10,3.0939226519336893,2.549999999999983,DEFENCE
2023-10-11 05:30:00,BEL,139.95,140.5,137.5,137.75,10778916,2023-10,-1.571989996427292,-2.1999999999999886,DEFENCE
2023-10-12 05:30:00,BEL,137.95,138.7,137.2,138.2,7567439,2023-10,0.32667876588021727,0.25,DEFENCE
2023-10-13 05:30:00,BEL,136.3,138.2,136.3,137.45,8303230,2023-10,-0.542691751085389,1.1499999999999773,DEFENCE
2023-10-16 05:30:00,BEL,137.0,137.9,136.55,137.4,7785480,2023-10,-0.03637686431428033,0.4000000000000057,DEFENCE
2023-10-17 05:30:00,BEL,137.5,138.9,137.5,138.55,6076896,2023-10,0.8369723435225573,1.0500000000000114,DEFENCE
2023-10-18 05:30:00,BEL,138.75,138.95,136.4,137.05,6806231,2023-10,-1.082641645615301,-1.6999999999999886,DEFENCE
2023-10-19 05:30:00,BEL,136.0,137.2,135.05,137.0,7775836,2023-10,-0.03648303538855702,1.0,DEFENCE
2023-10-20 05:30:00,BEL,136.7,136.9,133.5,134.2,8982112,2023-10,-2.0437956204379604,-2.5,DEFENCE
2023-10-23 05:30:00,BEL,134.3,135.9,131.4,132.7,19333777,2023-10,-1.1177347242920965,-1.6000000000000227,DEFENCE
2023-10-25 05:30:00,BEL,132.5,134.65,129.25,131.2,10225867,2023-10,-1.130369253956287,-1.3000000000000114,DEFENCE
2023-10-26 05:30:00,BEL,130.0,130.2,127.0,128.85,18167694,2023-10,-1.7911585365853577,-1.1500000000000057,DEFENCE
2023-10-27 05:30:00,BEL,129.25,132.85,129.25,132.2,8761931,2023-10,2.599922390376408,2.9499999999999886,DEFENCE
2023-10-30 05:30:00,BEL,133.5,133.95,130.8,131.95,9052085,2023-10,-0.18910741301059186,-1.5500000000000114,DEFENCE
2023-10-31 05:30:00,BEL,132.5,133.65,130.75,133.25,8098744,2023-10,0.9852216748768461,0.75,DEFENCE
2023-11-01 05:30:00,BEL,133.75,134.55,132.05,132.4,10431945,2023-11,-0.6378986866791725,-1.3499999999999943,DEFENCE
2023-11-02 05:30:00,BEL,133.7,135.0,133.3,134.75,4885035,2023-11,1.7749244712990997,1.0500000000000114,DEFENCE
2023-11-03 05:30:00,BEL,135.15,137.0,134.75,135.95,9154983,2023-11,0.8905380333951607,0.799999999999983,DEFENCE
2023-11-06 05:30:00,BEL,136.95,138.0,136.0,137.65,7070089,2023-11,1.2504597278411245,0.700000000000017,DEFENCE
2023-11-07 05:30:00,BEL,137.55,138.95,136.7,138.05,8587321,2023-11,0.2905920813657925,0.5,DEFENCE
2023-11-08 05:30:00,BEL,137.75,141.15,137.7,140.4,9755483,2023-11,1.7022817819630554,2.6500000000000057,DEFENCE
2023-11-09 05:30:00,BEL,139.95,139.95,137.6,137.95,5481774,2023-11,-1.7450142450142536,-2.0,DEFENCE
2023-11-10 05:30:00,BEL,137.5,139.1,137.05,138.8,5781314,2023-11,0.6161652772743942,1.3000000000000114,DEFENCE
2023-11-12 05:30:00,BEL,139.95,140.3,139.3,139.6,1362464,2023-11,0.5763688760806795,-0.3499999999999943,DEFENCE
2023-11-13 05:30:00,BEL,139.15,144.2,139.05,143.4,20245049,2023-11,2.7220630372492893,4.25,DEFENCE
2023-11-15 05:30:00,BEL,144.5,145.4,142.5,143.05,11440473,2023-11,-0.24407252440724614,-1.4499999999999886,DEFENCE
2023-11-16 05:30:00,BEL,143.25,144.35,142.2,142.6,11453235,2023-11,-0.3145753233135373,-0.6500000000000057,DEFENCE
2023-11-17 05:30:00,BEL,142.85,146.5,141.8,146.1,13496261,2023-11,2.4544179523141585,3.25,DEFENCE
2023-11-20 05:30:00,BEL,146.4,146.75,143.15,143.85,7741502,2023-11,-1.5400410677618104,-2.5500000000000114,DEFENCE
2023-11-21 05:30:00,BEL,144.15,144.55,142.25,142.85,9972235,2023-11,-0.6951685783802564,-1.3000000000000114,DEFENCE
2023-11-22 05:30:00,BEL,143.25,143.45,140.15,141.85,7445272,2023-11,-0.7000350017500878,-1.4000000000000057,DEFENCE
2023-11-23 05:30:00,BEL,141.85,142.55,139.1,139.35,13138745,2023-11,-1.7624250969333843,-2.5,DEFENCE
2023-11-24 05:30:00,BEL,139.95,142.15,137.35,140.35,19614754,2023-11,0.7176175098672299,0.4000000000000057,DEFENCE
2023-11-28 05:30:00,BEL,141.65,141.8,140.4,141.3,8595693,2023-11,0.6768792304951976,-0.3499999999999943,DEFENCE
2023-11-29 05:30:00,BEL,142.05,142.65,140.5,141.0,14680789,2023-11,-0.2123142250530896,-1.0500000000000114,DEFENCE
2023-11-30 05:30:00,BEL,141.0,146.35,140.75,145.9,27591484,2023-11,3.4751773049645385,4.900000000000006,DEFENCE
2023-12-01 05:30:00,BEL,147.95,150.3,146.75,147.45,34466616,2023-12,1.0623714873200685,-0.5,DEFENCE
2023-12-04 05:30:00,BEL,152.0,157.5,151.6,153.55,51416976,2023-12,4.136995591726023,1.5500000000000114,DEFENCE
2023-12-05 05:30:00,BEL,153.7,155.1,149.95,152.0,29109123,2023-12,-1.0094431781178859,-1.6999999999999886,DEFENCE
2023-12-06 05:30:00,BEL,152.6,157.15,151.85,156.15,26688698,2023-12,2.73026315789473,3.5500000000000114,DEFENCE
2023-12-07 05:30:00,BEL,161.8,161.8,158.25,160.35,51346222,2023-12,2.6897214217098897,-1.450000000000017,DEFENCE
2023-12-08 05:30:00,BEL,161.35,162.35,157.3,158.75,22869782,2023-12,-0.9978172747115654,-2.5999999999999943,DEFENCE
