Date,Symbol,Open,High,Low,Close,Volume,Month,Daily_Return,Price_Change,Sector
2023-10-03 05:30:00,ITC,441.0,442.9,439.25,439.75,7481883,2023-10,,-1.25,FOOD & TOBACCO
2023-10-04 05:30:00,ITC,439.75,441.7,433.3,436.1,13396709,2023-10,-0.8300170551449604,-3.6499999999999773,FOOD & TOBACCO
2023-10-05 05:30:00,ITC,440.0,440.5,435.05,436.05,10030257,2023-10,-0.011465260261411814,-3.9499999999999886,FOOD & TOBACCO
2023-10-06 05:30:00,ITC,437.85,443.6,436.65,442.15,8418580,2023-10,1.3989221419561826,4.2999999999999545,FOOD & TOBACCO
2023-10-09 05:30:00,ITC,440.95,443.2,437.25,440.45,5611154,2023-10,-0.3844849033133535,-0.5,FOOD & TOBACCO
2023-10-10 05:30:00,ITC,440.45,444.85,440.45,444.4,5014758,2023-10,0.8968100805993862,3.9499999999999886,FOOD & TOBACCO
2023-10-11 05:30:00,ITC,447.2,449.45,444.8,448.25,7651513,2023-10,0.8663366336633782,1.0500000000000114,FOOD & TOBACCO
2023-10-12 05:30:00,ITC,449.65,452.5,446.15,450.7,11774487,2023-10,0.546569994422752,1.0500000000000114,FOOD & TOBACCO
2023-10-13 05:30:00,ITC,449.85,451.8,447.0,448.35,7632483,2023-10,-0.5214111382294107,-1.5,FOOD & TOBACCO
2023-10-16 05:30:00,ITC,448.0,451.0,446.2,448.95,4214958,2023-10,0.13382402141184357,0.9499999999999886,FOOD & TOBACCO
2023-10-17 05:30:00,ITC,449.8,454.5,449.0,453.45,6936218,2023-10,1.0023387905111925,3.6499999999999773,FOOD & TOBACCO
2023-10-18 05:30:00,ITC,454.25,458.2,451.0,451.65,6894947,2023-10,-0.39695666556400777,-2.6000000000000227,FOOD & TOBACCO
2023-10-19 05:30:00,ITC,449.75,454.9,446.85,450.4,9465463,2023-10,-0.27676298018377565,0.6499999999999773,FOOD & TOBACCO
2023-10-20 05:30:00,ITC,445.0,449.0,437.35,438.3,13020371,2023-10,-2.6865008880994634,-6.699999999999989,FOOD & TOBACCO
2023-10-23 05:30:00,ITC,438.0,439.95,433.1,435.9,7275471,2023-10,-0.5475701574264247,-2.1000000000000227,FOOD & TOBACCO
2023-10-25 05:30:00,ITC,436.9,438.0,427.05,432.7,10889221,2023-10,-0.7341133287451229,-4.199999999999989,FOOD & TOBACCO
2023-10-26 05:30:00,ITC,429.55,436.6,429.55,434.35,18801214,2023-10,0.38132655419460537,4.800000000000011,FOOD & TOBACCO
2023-10-27 05:30:00,ITC,434.35,436.8,432.2,433.75,13132487,2023-10,-0.1381374467595342,-0.6000000000000227,FOOD & TOBACCO
2023-10-30 05:30:00,ITC,434.55,437.15,428.35,430.45,7618033,2023-10,-0.7608069164265152,-4.100000000000023,FOOD & TOBACCO
2023-10-31 05:30:00,ITC,430.0,433.35,427.9,428.4,8620154,2023-10,-0.47624578929027495,-1.6000000000000227,FOOD & TOBACCO
2023-11-01 05:30:00,ITC,430.0,431.1,425.5,428.1,7990245,2023-11,-0.07002801120447044,-1.8999999999999773,FOOD & TOBACCO
2023-11-02 05:30:00,ITC,430.05,432.7,428.65,431.15,8152031,2023-11,0.7124503620649314,1.099999999999966,FOOD & TOBACCO
2023-11-03 05:30:00,ITC,432.8,434.4,431.1,433.25,13802600,2023-11,0.487069465383283,0.44999999999998863,FOOD & TOBACCO
2023-11-06 05:30:00,ITC,433.5,436.8,432.55,435.35,7308229,2023-11,0.4847085978072707,1.8500000000000227,FOOD & TOBACCO
2023-11-07 05:30:00,ITC,434.9,434.9,432.15,432.7,5124012,2023-11,-0.6087056391409273,-2.1999999999999886,FOOD & TOBACCO
2023-11-08 05:30:00,ITC,433.15,437.5,432.3,436.95,6979849,2023-11,0.9822047608042617,3.8000000000000114,FOOD & TOBACCO
2023-11-09 05:30:00,ITC,437.8,438.0,433.9,434.4,7785767,2023-11,-0.5835907998626877,-3.400000000000034,FOOD & TOBACCO
2023-11-10 05:30:00,ITC,434.4,438.0,432.5,436.55,4079205,2023-11,0.49493554327808553,2.150000000000034,FOOD & TOBACCO
2023-11-12 05:30:00,ITC,438.85,439.2,438.0,438.45,1181310,2023-11,0.4352307868514371,-0.4000000000000341,FOOD & TOBACCO
2023-11-13 05:30:00,ITC,438.4,438.4,435.0,436.0,3744754,2023-11,-0.5587866347359971,-2.3999999999999773,FOOD & TOBACCO
2023-11-15 05:30:00,ITC,438.1,442.5,437.5,441.95,7436428,2023-11,1.364678899082561,3.849999999999966,FOOD & TOBACCO
2023-11-16 05:30:00,ITC,441.95,444.5,437.6,438.65,10857863,2023-11,-0.746690802126937,-3.3000000000000114,FOOD & TOBACCO
2023-11-17 05:30:00,ITC,439.25,441.5,438.3,439.25,6655278,2023-11,0.13678331243589525,0.0,FOOD & TOBACCO
2023-11-20 05:30:00,ITC,439.85,440.3,434.5,436.8,4335388,2023-11,-0.5577689243027817,-3.0500000000000114,FOOD & TOBACCO
2023-11-21 05:30:00,ITC,437.15,439.3,435.5,436.25,5997810,2023-11,-0.12591575091575047,-0.8999999999999773,FOOD & TOBACCO
2023-11-22 05:30:00,ITC,437.0,440.4,434.8,439.7,4886687,2023-11,0.7908309455587403,2.6999999999999886,FOOD & TOBACCO
